name,price,desciption,features,image link,link
Becca Cosmetics Skin Love Brighten and Blur Primer Women Primer I0092882 1 Fl Oz (Pack of 1),$39.00 ,"An optical-blurring blend diffuses the look of pores, leaving skin looking and feeling silky-smooth and perfectly-prepped for flawless makeup application.","-	The complexion and refines pores, prepping skin for makeup application
-	The silky formula brightens and hydrates the skin immediately and overtime
-	It moisturizes and perfects skin
-	Protect against environmental pollution and blue light-induced damage
-	Formulated with hyaluronic acid, algae extract, and mango seed & shea butters.
",https://m.media-amazon.com/images/I/71-KUZL7QsL._AC_UL320_.jpg,https://www.amazon.com/Becca-Skin-Love-Brighten-Primer/dp/B07R2PG28N/ref=sr_1_1?qid=1650061604&sr=8-1&srs=17716759011
"Becca Cosmetics Gradient Sunlit Bronzer, Sunrise Waves",$31.00 ,"Becca Gradient Sunlit Bronzer is best for medium-to-deep skin tones. An illuminating bronzer that combines Sunlit Bronzer with a highlighter for a naturally radiant glow. Swirl, glow and go for shimmering multi-tonal bronze or use each shade individually for customized endless-summer effects. Layer until you achieve the bronze you want. The glow-giving formula won't cake or look dry, thanks to a liquid that is blended and pressed into the powder for a creamy finish and silky feel. Available in Sunrise Waves shade.","-	An illuminating bronzer that combines sunlit bronzer
-	Highlighter for a naturally radiant glow
-	Best for medium-to-deep skin tones
-	A silky application that's never drying or cakey
-	Multi-purpose and travel-friendly
",https://m.media-amazon.com/images/I/81tSe+Dux-L._AC_UL320_.jpg,https://www.amazon.com/BECCA-Cosmetics-Gradient-Sunlit-Bronzer/dp/B07D2J79XC/ref=sr_1_2?qid=1650061604&sr=8-2&srs=17716759011
Becca Ultimate Coverage 24 Hours Foundation Cashmere,$44.00 ,"An oil-free, full coverage liquid foundation that looks and feels weightless on skin with 24-hour, water-resistant wear. It is combined light and skin-tone-correct pigments to create a shade for every skin tone.","-	An oil-free, full coverage liquid foundation that looks and feels weightless on skin
-	It stays put for as long as 24-hour, and provides water-resistant wear
-	Oil free
",https://m.media-amazon.com/images/I/71-8uKvo-4L._AC_UL320_.jpg,https://www.amazon.com/Ultimate-Coverage-24-Hour-Foundation/dp/B07D6TBLDC/ref=sr_1_3?qid=1650061604&sr=8-3&srs=17716759011
Becca X Chrissy Teigen Glow Face Palette,$49.99 ,"We’ve long coveted Chrissy’s cool-girl, California radiance, and now—thanks to this amazing BECCA x CHRISSY TEIGEN collab—we, too, can glow to Teigen-level heights. Whipped up with the model, mom, cookbook author herself, this limited-edition palette features three NEW, exclusive formulas, along with one of Chrissy’s all-time favorites: the Shimmering Skin Perfector Pressed Highlighter in Rose Gold. Each warm, summer-ready shade is super-blendable, flattering on all skin tones, and evokes the kind of radiance BECCA believes in—effortless, natural, and authentic. Use each part of the palette on its own, or mix them together for an all-over, lit-from-within look.","-	Delivers an iridescent sheen to cheekbones, brow bone, and nose.
-	Luminous Blush in Hibiscus Bloom. The creamy formula is perfect to wear alone, or mix with your favorite highlighter
-	Sunlit Bronzer in Malibu Soleil. Provides Chrissy Teigen's coveted, Cali-babe bronze.
-	The silky, buttery formulas glide effortlessly across your cheekbones, leaving you with a dewy, lit-from-within glow
",https://m.media-amazon.com/images/I/61QAlmNgYpL._AC_UL320_.jpg,https://www.amazon.com/Becca-Chrissy-Teigen-Glow-Palette/dp/B071F13PRS/ref=sr_1_4?qid=1650061604&sr=8-4&srs=17716759011
Becca Shimmering Skin Perfector Pressed Moonstone 0.25 oz/ 7g,$17.00 ,"It is an award-winning highlighting powder with an ultra-buttery texture that melts into skin for the ultimate high-impact glow. This unique formula blends pigments with liquids, creating a creamy feel that applies seamlessly and never cakes.","-	Product Type:Beauty
-	Item Package Dimension:2.1 cm L X8.2 cm W X8.6 cm H
-	Item Package Weight:0.28 oz
-	Country Of Origin: Australia
",https://m.media-amazon.com/images/I/71oDC06gfyL._AC_UL320_.jpg,https://www.amazon.com/Becca-Shimmering-Perfector-Highlighter-Moonstone/dp/B07FB4KKRT/ref=sr_1_5?qid=1650061604&sr=8-5&srs=17716759011
Becca Light Shifter Dewing Tint Moisturizer - 3 Moondance Women 1 oz,$29.99 ,"Boasting an ultra-dewy finish, this lightweight, velvety, gel-balm formula cradles the skin with industry-adored ingredients for a formula that not only looks good, but feels good on skin.","-	Light Shifting Pigments reflect and diffuse light to illuminate skin
-	With coverage so sheer, the shades are flexible, so finding yours is simple
-	Formulated with squalane and glycerin, the nourishing formula evens the complexion and blurs imperfections, leaving you with dewy, healthy-looking skin
-	Suggested for normal, normal/dry, dry skintypes
-	Infused with hyaluronic acid to instantly hydrate, the lightweight, radiant balm cocoons skin in dewiness.
",https://m.media-amazon.com/images/I/61tJmV3EUoL._AC_UL320_.jpg,https://www.amazon.com/Cosmetics-Shifter-Dewing-Moisturizer-Moondance/dp/B08W5DQLS5/ref=sr_1_6?qid=1650061604&sr=8-6&srs=17716759011
BECCA COSMETICS Shimmering Skin Perfector Pressed Highlighter Passport to Glow Korea - Rose Quartz,$22.20 ,"Unlike traditional pressed powder highlighters, this unique formula blends luminous pearl pigments with liquid for an ultra-buttery texture. The creamy formula builds and blends seamlessly without ever looking glittery. Pure light is reflected from every angle for the most natural, luminous glow. Ultra-Fine Multidimensional Pearls: Reflects and refracts light from every angle for a buildable, luminous glow.",NA,https://m.media-amazon.com/images/I/51A8yxMbwjL._AC_UL320_.jpg,https://www.amazon.com/COSMETICS-Shimmering-Perfector-Highlighter-Passport/dp/B088875S3B/ref=sr_1_7?qid=1650061604&sr=8-7&srs=17716759011
Becca Light Shifter Dewing Tint Moisturizer - 4 Light Year Women 1 oz,$19.99 ,"Boasting an ultra-dewy finish, this lightweight, velvety, gel-balm formula cradles the skin with industry-adored ingredients for a formula that not only looks good, but feels good on skin.","-	Light Shifting Pigments reflect and diffuse light to illuminate skin
-	With coverage so sheer, the shades are flexible, so finding yours is simple
-	Formulated with squalane and glycerin, the nourishing formula evens the complexion and blurs imperfections, leaving you with dewy, healthy-looking skin
-	Suggested for normal, normal/dry, dry skintypes
-	Infused with hyaluronic acid to instantly hydrate, the lightweight, radiant balm cocoons skin in dewiness.
",https://m.media-amazon.com/images/I/615IEHiD56L._AC_UL320_.jpg,https://www.amazon.com/Becca-Light-Shifter-Dewing-Moisturizer/dp/B0982VTXN1/ref=sr_1_8?qid=1650061604&sr=8-8&srs=17716759011
Becca Cosmetics BECCA Cosmetics Light Gleam Primer and Topper Liquid Eyeshadow ~ Dusk,$8.75 ,BECCA Cosmetics Light Gleam Primer & Topper Liquid Eyeshadow is a dual-ended liquid eyeshadow with a long-wear pigmented primer on one end and a twinkling topper on the other for multiple looks,"-	Unit count type: Count
",https://m.media-amazon.com/images/I/31X2oqJQ2IS._AC_UL320_.jpg,https://www.amazon.com/Becca-Cosmetics-Primer-Topper-Eyeshadow/dp/B095126D1S/ref=sr_1_9?qid=1650061604&sr=8-9&srs=17716759011
"Becca Cosmetics Shimmering Skin Perfector Highlighter, Gold Pop",$30.79 ,"BECCA Shimmering Skin Perfector Highlighter is a creamy highlighter that gives your skin an elegant, radiant glow. Especially for travel applications, this tool is the ideal choice. It's rich, delicately creamy formula. Easy and convenient to use. Available in Gold Pop colour shade.","-	A creamy highlighter that gives your skin an elegant, radiant glow
-	Especially for travel applications
-	It's rich, delicately creamy formula
-	Easy and convenient to use
",https://m.media-amazon.com/images/I/41nq-EjKQeL._AC_UL320_.jpg,https://www.amazon.com/Becca-Cosmetics-Shimmering-Perfector-Highlighter/dp/B07FB4LH64/ref=sr_1_10?qid=1650061604&sr=8-10&srs=17716759011
