category,name,skins,description,features,image link,link
hygiene,"Nodé
   DS+ Shampooing",Dandruff and scales scalp,The shampoo that acts on the causes of persistant dandruff.,Lastingly cleanses; Eliminates persistent dandruff and prevents their recurrence; Instantly soothes; Fluid creamy texture - Fresh and light fragrance,https://www.bioderma.eg/sites/eg/files/styles/phablet_product_list_thumbnail/public/products/%7B37966%7D_%7BBIO_NODE_DS%7D_%7B28438D%7D.png?itok=4YKpXLCb,https://www.bioderma.eg/our-products/node/ds-shampooing
hygiene,"Pigmentbio
   Foaming Cream",Hyperpigmented skin,Exfoliating cleanser for brighened skin right from the shower.,Very good tolerance - Creamy foam texture - Soap free - Can be used as a mask; Gently cleanses the skin; Eliminates colour irregularities and surface impurities to restore the complexion’s radiance; Promotes the disappearance of hyperpigmentation spots and marks while keeping them from reappearing; Leaves the skin comfortable,https://www.bioderma.eg/sites/eg/files/styles/phablet_product_list_thumbnail/public/products/%7B37996%7D_%7BBIO_PIGMENTBIO_FOAMING_CREAM%7D_%7B28912B%7D.png?itok=2qUb23vR,https://www.bioderma.eg/our-products/pigmentbio/foaming-cream
hygiene,"Sébium
   Gel gommant",Combination to oily skin; Acne-prone skin,The exfoliating gel for a purified and smoother skin.,Very good tolerance - Non-comedogenic - Soap free - Scented formula; Smoothes out the skin texture; Gently cleanses; Prepares the skin for the application of a treatment cream; Brightens the complexion,https://www.bioderma.eg/sites/eg/files/styles/phablet_product_list_thumbnail/public/products/%7B38464%7D_%7BBIO_SEBIUM_GEL_GOMMANT%7D_%7B28625I%7D.png?itok=NAAZ0gLM,https://www.bioderma.eg/our-products/sebium/gel-gommant
hygiene,"Sébium
   Gel moussant",Combination to oily skin,"The purifying gentle cleanser. Removes impurities, controls shine.",Scented formula - Non-comedogenic - Non-drying - Soap-free; Gently cleanses and purifies; Limits sebum secretion; Keeps pores from becoming clogged; Guarantees good skin and eye tolerance,https://www.bioderma.eg/sites/eg/files/styles/phablet_product_list_thumbnail/public/products/%7B38491%7D_%7BBIO_SEBIUM_GEL_MOUSSANT%7D_%7B28664I%7D.png?itok=StrlRSPA,https://www.bioderma.eg/our-products/sebium/gel-moussant
hygiene,"Sébium
   H2O",Combination to oily skin; Acne-prone skin,"The dermatological micellar water cleanses, removes make-up, purifies the skin without drying it.",Very good tolerance - Non-comedogenic - Non-rinse; Cleanses without drying out the skin; Purifies the skin and limits sebum secretion; Offers an immediate sensation of freshness; Removes make-up from face,https://www.bioderma.eg/sites/eg/files/styles/phablet_product_list_thumbnail/public/products/%7B38242%7D_%7BBIO_SEBIUM_H2O%7D_%7B28642X%7D.png?itok=SXnOJHxs,https://www.bioderma.eg/our-products/sebium/h2o
hygiene,"Sensibio
   H2O",Sensitive skin; Normal skin,"The pure, original skin soothed and freed from make-up and pollution.",Cleanses the skin from impurities and pollution particles; Removes make-up from face and eyes; Soothes; Prevents the risks of skin reaction; Preserves the skin’s natural balance; Very good tolerance - Non-rinse - Unfragranced,https://www.bioderma.eg/sites/eg/files/styles/phablet_product_list_thumbnail/public/products/%7B40498%7D_%7BBIO_SENSIBIO_H2O%7D_%7B28709X%7D.png?itok=J9bEKK8X,https://www.bioderma.eg/our-products/sensibio/h2o
hygiene,"Atoderm
   Intensive Gel moussant","Very dry, irritated to atopic sensitive skin","Soft purifying cleansing gel, anti-itching.",Very good tolerance  - Excellent rinsability - Soap-free - Unfragranced; Gently cleanses; Soothes sensations of discomfort and irritation; Protects from cutaneous dryness; Respects the skin balance thanks to the superfatting cleansing base,https://www.bioderma.eg/sites/eg/files/styles/phablet_product_list_thumbnail/public/products/%7B37042%7D_%7BBIO_ATODERM_INTENSIVE_GEL_MOUSSANT%7D_%7B28134%7D.png?itok=BtZNg0R-,https://www.bioderma.eg/our-products/atoderm/intensive-gel-moussant
hygiene,"Atoderm
   Intensive Pain","Very dry, irritated to atopic sensitive skin","Soft purifying cleansing bar soap, anti-itching.",Very good cutaneous and ocular tolerance - Unfragranced; Gently cleanses and purifies the skin; Respects the skin's physiological balance; Limits sensations of tightness,https://www.bioderma.eg/sites/eg/files/styles/phablet_product_list_thumbnail/public/products/%7B37303%7D_%7BBIO_ATODERM_INTENSIVE_PAIN%7D_%7B28092B%7D.png?itok=bUhHjVUS,https://www.bioderma.eg/our-products/atoderm/intensive-pain
skincare,"Cicabio
   Arnica+",Weakened skin,The care that quickly reduces feelings of discomfort.,Good tolerance - Creamy texture -Non-comedogenic - Quick and easy application - Unfragranced; Quickly reduces feeling of discomfort,https://www.bioderma.eg/sites/eg/files/styles/phablet_product_list_thumbnail/public/products/%7B37363%7D_%7BBIO_CICABIO_ARNICA%7D_%7B28006%7D.png?itok=YTfhxJmc,https://www.bioderma.eg/our-products/cicabio/arnica
skincare,"Pigmentbio
   C-Concentrate",Hyperpigmented skin,High security Vitamin C cure for intense pigmentation correction.,Non-comedogenic - Light and envelopping gel-cream texture - Fast absorption; Reduces the intensity and size of existing spots; Prevents the appearance of new pigmentation spots; Smooths and refines skin texture so it better reflects light; Evens and brightens complexion (skin radiance is restored); Hydrates for 8 hours,https://www.bioderma.eg/sites/eg/files/styles/phablet_product_list_thumbnail/public/products/%7B38080%7D_%7BBIO_PIGMENTBIO_C_CONCENTRATE%7D_%7B28917%7D.png?itok=ck9wr-jz,https://www.bioderma.eg/our-products/pigmentbio/c-concentrate
